Type	Freq.
çocuğun	6856
asla	6853
sonrası	6842
hakkı	6837
soğuk	6832
halkın	6827
doğrusu	6826
başta	6815
sorunun	6810
ilginç	6794
bunlardan	6793
yapılması	6773
onunla	6765
başlar	6764
rahat	6761
ilgi	6758
alanında	5972
kere	5971
tamam	5969
durumunda	5962
öteki	5958
zengin	5943
belediye	5936
kişilik	5930
bol	5927
ürün	5927
mesela	5914
basın	5912
almış	5910
artış	5909
doktor	5909
iken	5907
lazım	5904
nitekim	5904
lazım	5904
öğretim	5901
zamanlar	5898
bölge	5884
alanı	5880
günümüzde	5869
kararı	5869
gördüm	5867
ülkelerin	5865
uygulama	5865
gelince	5864
tarihinde	5853
yapıyor	5852
bakan	5849
hakları	5839
ilişkiler	5839
gözlerini	5816
canlı	5804
dikkate	5802
sevgili	5800
demektir	5789
ülkeler	5782
yaygın	5781
teslim	5776
yedi	5775
sözü	5772
öncelikle	5763
ülkelerde	5760
istediği	5760
giren	5759
göstermektedir	5758
terk	5744
diyorum	5725
devleti	5196
üye	5195
talep	5187
yıldır	5179
emin	5170
yapmaya	5161
alma	5160
süren	5158
çıkıp	5158
resim	5154
hani	5153
duran	5153
şehir	5142
sınırlı	5141
olmadı	5140
üyesi	5137
şiir	5136
yerden	5132
düşünüyorum	5127
çıkmış	5126
ırak	5110
faiz	5107
bunlara	5107
sanırım	5106
sağlayan	5102
sona	5088
bilinen	5085
oy	5074
olmaktan	5074
satış	5073
teşekkür	5072
parçası	5071
karanlık	5065
yasal	5064
annesi	5052
zamanı	5052
falan	5052
net	5050
hafif	5039
oğlu	5036
çalışmaları	5027
taş	5026
yaşadığı	5015
sonu	4998
savaşı	4996
sebep	4996
gereği	4992
getirdiği	4992
köy	4987
geriye	4986
günde	4986
edildi	4612
ticari	4607
sonuçta	4602
kar	4598
buradan	4597
ocak	4595
gerektiği	4593
bugünkü	4592
kitabı	4591
artan	4591
yerlerde	4583
birtakım	4579
fikir	4574
dışişleri	4565
yazık	4563
sorumlu	4558
garip	4557
kurulan	4553
nereden	4552
ihtiyacı	4548
çiçek	4547
sultan	4546
noktada	4543
kurum	4538
yüzüne	4537
değerli	4534
oldum	4531
eğitimi	4529
sistemin	4527
güven	4525
değilim	4524
aydın	4522
bölgede	4519
dönüp	4519
kendime	4514
tepki	4511
vakit	4511
milletvekili	4507
görüş	4502
beyin	4496
birbirlerine	4495
oranında	4494
dili	4482
cumhurbaşkanı	4481
gelmişti	4479
yalan	4476
adalet	4475
giriş	4474
saygı	4472
önemi	4470
ekim	4462
ekonomi	4151
ters	4148
çeşit	4144
varmış	4142
yönde	4137
idare	4132
millet	4128
açtı	4124
vermiş	4123
ettiğini	4121
nisan	4120
olaylar	4118
doktora	4116
kasım	4113
itibariyle	4110
istihdam	4106
sonradan	4100
nüfus	4100
hayvan	4093
yarattığı	4089
dünyayı	4085
engel	4083
ederken	4082
çeken	4082
şunu	4080
ziyaret	4077
faaliyet	4073
futbol	4073
miydi	4067
kimlik	4064
açılan	4060
gelişmeler	4058
yapacak	4049
borç	4047
kendisinin	4041
aracılığıyla	4035
kadını	4035
in	4033
başarı	4030
geldiğini	4024
eksik	4012
görüldüğü	4012
yolunda	4008
kızın	4001
aman	4000
evi	3997
yardımcısı	3997
kalem	3988
proje	3982
partisi	3980
derecede	3979
model	3664
enflasyon	3653
nihayet	3651
girer	3651
birinde	3648
aksine	3647
müşteri	3646
teknolojik	3645
zamanında	3644
gelmektedir	3643
tüketim	3642
özgürlük	3640
tiyatro	3634
bakımdan	3632
burası	3630
konularda	3625
geldiğinde	3624
kriz	3623
nefes	3623
balık	3622
baktım	3622
miktarı	3620
mektup	3615
kış	3613
kalır	3612
uygulanan	3611
okuma	3610
korku	3608
ekmek	3607
dediği	3607
ekmek	3607
finansal	3605
temmuz	3603
nükleer	3601
aday	3599
verilmiştir	3599
hareketi	3598
kimseye	3597
yüzyılın	3595
olmayı	3588
deli	3586
müdür	3584
bırakıp	3583
sonuçları	3578
ilaç	3575
yaşamın	3574
etkileri	3573
bilen	3567
sinema	3566
gözü	3564
idari	3562
deyip	3356
sözünü	3355
almaktadır	3353
durumun	3347
bizzat	3344
geçiş	3343
yerinden	3342
alınarak	3342
öbür	3340
babasının	3336
gerçi	3334
bakıyor	3333
sordum	3329
evrensel	3326
değerlendirme	3326
arkadaşı	3325
gençlik	3324
emekli	3323
hükümetin	3323
oranda	3323
sektör	3323
dev	3321
hali	3318
düzeyinde	3313
taraf	3310
istiyordu	3310
arkasından	3306
isim	3303
önde	3302
hücre	3301
kilo	3299
hepsini	3297
yapıp	3294
konuya	3293
anlatıyor	3291
şiddet	3289
zamanın	3288
denize	3285
kullanılması	3285
daima	3281
anlayışı	3281
kaynakları	3277
çevresinde	3277
değişen	3274
çıkmaktadır	3274
duruyor	3272
gösterdiği	3272
aşkın	3268
ol	3268
bilgileri	3267
çıktığı	3267
yumuşak	3104
birey	3098
bakarak	3095
sorumluluk	3094
oturan	3090
düşündü	3089
bulundu	3088
hükümeti	3087
kadına	3087
tutan	3087
yapıldı	3086
ölü	3082
vadeli	3081
çaba	3081
eli	3080
gelin	3079
oda	3079
gelin	3079
ağırlık	3077
umut	3077
sorular	3075
ürünü	3072
günden	3070
düzeni	3067
stratejik	3066
anlamak	3065
diğeri	3064
tuz	3062
üstü	3062
roman	3059
tehlikeli	3057
kullanılır	3057
bebek	3051
dizi	3049
tıp	3040
katılan	3037
fikri	3036
söyler	3036
ver	3036
başından	3035
noktası	3035
bunca	3034
mahkeme	3032
keşke	3031
çalışmak	3031
çıkmıştır	3030
felsefe	3029
katkıda	3029
sınır	3029
işgücü	3027
ederler	3027
telefonu	2876
olmasın	2876
plan	2875
gitmiş	2874
kendinden	2873
not	2871
yoluna	2870
verimli	2868
sohbet	2868
dönük	2866
olanak	2864
kalkıp	2863
durdu	2862
hayli	2860
çıkması	2860
kalmıştı	2859
karısı	2858
söyledim	2858
alternatif	2854
seviyorum	2853
senden	2851
gösterdi	2850
söyle	2850
çalışmaya	2848
mutluluk	2847
gelmesi	2847
olmasıdır	2846
bitti	2845
nefret	2842
partinin	2842
dur	2842
hizmetleri	2838
şimdiye	2835
kurulması	2835
bölüm	2834
geldim	2831
eliyle	2830
saf	2829
yumurta	2829
gayet	2826
teklif	2825
alanları	2824
akla	2824
alanları	2824
ikna	2822
kapının	2818
gecenin	2817
ediliyor	2816
böylesine	2815
ordu	2815
bahçe	2814
yönünden	2717
ayrıntılı	2714
meyve	2714
 bayram	2709
almıştır	2709
demokrat	2705
üzerine	33507
iş	33461
olur	33447
sen	33428
güzel	33383
biraz	33008
öyle	32977
vardır	32945
gelen	32694
neden	32428
kabul	32150
az	32112
vardı	31915
yüksek	31292
olması	31285
farklı	31268
kez	31066
kadın	31053
devlet	30785
yapılan	30419
özel	30408
ona	30203
dünya	30201
pek	29909
belki	29662
eden	29587
sahip	29570
özellikle	29530
hep	28824
devam	28554
bizim	28484
olmak	28484
burada	28092
eski	27918
yerine	27848
yeniden	26818
üzere	26480
yol	25723
ikinci	25512
fakat	25432
buna	25366
eğitim	25071
su	24830
altında	24604
alan	24475
ayrıca	24187
değildir	24156
bugün	24071
adam	23918
ay	15917
bunların	15909
diyor	15860
uluslararası	15840
adı	15779
göz	15766
an	15702
yere	15632
onları	15549
yoksa	15433
dedim	15405
nedenle	15295
herkes	15267
yerde	15258
oysa	15199
yabancı	15190
nedeniyle	15148
demek	15146
yönelik	15133
gerekir	15067
kamu	14979
sık	14973
ait	14939
gereken	14802
insanların	14774
bundan	14740
dolayısıyla	14730
ana	14729
gerçekten	14706
yalnız	14604
bizi	14479
ardından	14461
söyledi	14414
kötü	14352
tekrar	14345
erkek	14335
milli	14324
zor	14232
siyasi	14201
orada	14175
kimi	14143
şeyi	14134
el	14117
kendine	14110
siyasal	14109
dikkat	13993
üst	13958
halde	13861
geniş	13807
ediyor	13806
yapan	13647
olmadığını	10748
değişik	10737
sizin	10732
çocuklar	10713
sahibi	10697
düşük	10608
olmaz	10595
ses	10562
kişinin	10548
deniz	10530
önüne	10529
örnek	10521
bilim	10515
batı	10497
içindeki	10492
oluşan	10476
değer	10427
sanat	10426
askeri	10407
yanı	10402
hızlı	10397
ciddi	10379
durumu	10338
beraber	10336
olacaktır	10292
teknik	10270
aldı	10259
genellikle	10237
önceki	10232
alıp	10198
derece	10197
parti	10144
kaç	10102
kitap	10071
altına	10036
çıkar	10022
gelecek	10005
sırada	10000
tarihi	9990
aldığı	9987
cevap	9946
dil	9938
araştırma	9934
sayısı	9924
giderek	9858
ister	9858
eve	9855
hanım	9846
zorunda	9831
sonuç	9831
bak	9809
yapı	8182
üzerinden	8176
adına	8175
kendimi	8171
merkez	8156
öte	8155
yoğun	8114
dönem	8097
birbirine	8078
sıcak	8073
destek	8071
iletişim	8062
gelip	8061
olma	8050
babam	8036
dolar	7992
il	7988
kültürel	7978
banka	7934
mutlaka	7933
niye	7924
ölüm	7891
görülmektedir	7874
düşünce	7848
defa	7842
gelmiş	7842
yola	7836
güneş	7829
paşa	7814
olay	7778
yaşlı	7776
olumsuz	7775
adım	7768
gizli	7758
doğu	7751
etkisi	7730
oyun	7723
insanı	7718
kadınlar	7715
geçti	7709
nedir	7702
yaptı	7702
dakika	7701
etmiş	7694
alınan	7686
olmuştu	7668
mücadele	7667
gidip	7663
birliği	7656
telefon	7645
çevre	7636
edilmiş	6744
sayılı	6738
yazı	6736
yatırım	6735
çözüm	6733
yüzünden	6732
öğretmen	6730
can	6724
geç	6722
etmektedir	6701
modern	6695
etmeye	6691
yaş	6687
insanları	6662
tarım	6645
hükümet	6573
alman	6566
çocukların	6565
baktı	6549
birinin	6548
birisi	6526
olmaktadır	6522
sordu	6517
yeşil	6506
aşırı	6476
bakalım	6471
çerçevesinde	6462
girdi	6453
erken	6411
yılda	6408
yukarıda	6400
edilir	6395
sayın	6393
şeyin	6386
bilimsel	6385
içeri	6380
demokratik	6363
edecek	6357
görmek	6353
satın	6339
kısmı	6329
rol	6321
yazın	6315
taşıyan	6314
pazar	6307
gelişme	6297
araya	6293
babası	6286
altın	6282
kızı	6281
der	6281
özellikleri	5721
derken	5712
söylüyor	5712
gerekmektedir	5694
bence	5693
büyüme	5691
bilgisayar	5679
hayatı	5679
üniversite	5668
bununla	5653
renk	5640
grubu	5633
biliyor	5633
yarım	5625
kaynak	5620
teknoloji	5620
önceden	5612
anayasa	5610
sert	5588
hasta	5586
ders	5584
adamı	5581
gelişmiş	5579
et	5572
yapılmış	5570
evin	5533
dışarı	5532
biliyorum	5532
gider	5519
aşağı	5507
ilişkileri	5507
zira	5495
konuştu	5486
sigara	5479
ceza	5477
kişisel	5471
veriyor	5470
sağlıklı	5469
çıkıyor	5467
alıyor	5462
ediyorum	5460
olanlar	5459
sağlamak	5451
kapı	5443
kapalı	5441
çağdaş	5440
çocuğu	5440
al	5438
kişiler	5434
suyu	5427
kişilerin	5422
insanlara	4978
şeye	4976
neyse	4974
söylemek	4969
bilgiler	4957
işleri	4946
ertesi	4932
suç	4932
bankası	4929
dönemi	4929
yanıt	4929
oran	4924
istedi	4923
spor	4922
hala	4914
mayıs	4914
yazılı	4913
galiba	4911
taraftan	4911
asker	4909
gidiyor	4907
yaşama	4905
olmalıdır	4903
yayın	4901
kat	4897
koca	4893
musun	4890
müdürü	4887
başlamıştı	4886
tip	4884
elektrik	4880
insana	4874
ayında	4870
etmesi	4868
uyum	4861
niçin	4860
işler	4860
öncesi	4859
döviz	4859
özelliği	4848
fiyat	4835
maddi	4834
mümkündür	4834
etki	4833
düşen	4832
nokta	4830
oradan	4830
gösterir	4828
boyu	4826
olurdu	4822
savunma	4820
diyen	4459
gitmek	4458
eline	4456
renkli	4454
ek	4452
göze	4447
karşılıklı	4446
kaza	4444
evine	4441
bireysel	4439
klasik	4438
sabit	4435
yapma	4430
ilan	4426
dönemin	4422
mü	4418
genelde	4416
yaparak	4416
değişim	4414
yeterince	4413
getiren	4406
arkadaş	4402
öğrencilerin	4401
arasına	4394
kuşkusuz	4393
demir	4393
fotoğraf	4391
sorunları	4389
bakın	4386
birbirinden	4379
görevi	4378
aşağıdaki	4369
sonuçlar	4365
veri	4358
iktidar	4355
silah	4349
özgü	4345
konuşma	4345
ruh	4338
olmasını	4333
araç	4331
şirket	4327
kocaman	4323
aralık	4320
egemen	4313
hoca	4313
bitki	4310
teşkil	4302
çalışıyor	4301
kuş	4296
başladım	4295
geçici	3975
yukarı	3970
sisteminin	3967
sesle	3966
kısaca	3965
kavramı	3951
olmakla	3949
değerleri	3946
parça	3946
süreç	3945
haklı	3938
yüzünü	3935
olamaz	3935
yolda	3931
birine	3926
durumlarda	3918
şeyden	3918
katı	3916
değişiklik	3915
ortada	3911
benimle	3910
işletme	3909
arasından	3901
psikolojik	3896
aktif	3892
davet	3888
derler	3888
sorunlar	3885
kullanarak	3883
yeter	3880
çekti	3879
başlamış	3871
yıldız	3869
olmasa	3856
tuhaf	3855
varlığı	3852
at	3842
dışına	3836
edilebilir	3836
koyun	3830
sessiz	3825
farkında	3823
turizm	3817
sağlam	3816
yıllardır	3813
olmanın	3813
erkekler	3812
elinden	3807
politikası	3806
takdirde	3802
getirdi	3802
iktisadi	3558
çoğunlukla	3556
yaşar	3554
harekete	3547
söyleyen	3546
çoktan	3544
kimin	3544
medya	3540
gördü	3539
kalp	3538
sözleri	3537
demişti	3537
tartışma	3536
fırsat	3531
anı	3516
ayağa	3516
toplumu	3513
yapılır	3509
ilave	3507
hepimiz	3503
suretiyle	3501
birlik	3500
onlarla	3497
yarar	3496
yılların	3496
yarar	3496
varlığını	3493
elektronik	3491
örgüt	3490
ağaç	3488
düzenlenen	3488
emek	3487
bulmak	3486
alacak	3485
aşağıda	3483
müdahale	3482
sürecinde	3482
devrimci	3478
kutsal	3477
eylem	3475
açıklama	3475
biçimi	3474
belirtti	3471
abi	3468
orman	3468
yargı	3467
ye	3467
toplu	3464
gücünü	3463
hayatını	3462
belirterek	3459
metre	3266
görmüş	3262
elindeki	3261
bizden	3260
üstün	3258
olacaktı	3257
sağlayacak	3254
kızlar	3252
inşa	3251
tipi	3250
murat	3249
sağlar	3245
açan	3245
sağlar	3245
farkı	3244
yöntemi	3243
olmaları	3242
deprem	3240
kapsamında	3237
kuruluş	3236
öğrenciler	3235
ayı	3233
onlardan	3233
babamın	3232
dost	3232
kalite	3226
radyo	3225
mıydı	3225
gıda	3222
sakin	3220
düzeyi	3218
yaşamı	3218
musunuz	3214
biçiminde	3213
evinde	3207
ettikleri	3207
düzenleme	3204
değilse	3203
